,Text,Reason,Sentiment,Emotion
58,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",up by ,1.0,Happy
59,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",increased,1.0,Happy
60,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",surged,1.0,Confused
61,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .", signed,1.0,Happy
62,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",increased,1.0,Happy
63,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",rose,1.0,Happy
64,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,rose,1.0,Happy
65,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .", soared,1.0,Confused
66,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % ., sales increased,1.0,Happy
67,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .",more ,1.0,Happy
68,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .", signed,1.0,Happy
69,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion ., signed an agreement,1.0,Happy
70,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",increase,1.0,Confused
71,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",up,1.0,Happy
72,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",raised,1.0,Happy
73,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj ., signed an agreement,1.0,Happy
74,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,supplier,1.0,Confused
75,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",strengthened,1.0,Confused
76,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",increase,1.0,Confused
77,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,increase,1.0,Happy
78,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",rose,1.0,Happy
79,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",increased,1.0,Happy
80,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",growing,1.0,Confused
81,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",invest,1.0,Confused
82,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",profit jump,1.0,Happy
83,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,rose,1.0,Happy
84,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,increased,1.0,Happy
85,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",up from ,1.0,Happy
86,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",increased,1.0,Happy
87,Net sales of Finnish food industry company L+Ãâ nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,increased,1.0,Happy
88,An individual promotion also generated slightly higher-than-expected revenues .,higher,1.0,Confused
89,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,expand,1.0,Happy
90,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",increased,1.0,Happy
91,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,revenue increased,1.0,Confused
92,Clothing chain Sepp+Ãâ l+Ãâ  's net sales increased by 7.0 % to EUR 30.8 mn ., sales increased,1.0,Happy
93,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,grow,1.0,Confused
94,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,growth,1.0,Confused
95,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",grow,1.0,Happy
96,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .",uo from,1.0,Happy
97,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",rose,1.0,Confused
98,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .", sales increased,1.0,Happy
99,"International sales rose by 59.8 % to EUR 1,244.4 mn .",rose,1.0,Happy
100,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,grew,1.0,Confused
101,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,sales increased,1.0,Happy
102,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",rose,1.0,Happy
103,"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",up from ,1.0,Confused
104,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .", profit margin rose,1.0,Confused
105,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,profit increased,1.0,Confused
106,Operating profit margin increased from 11.2 % to 11.7 % ., profit margin increased ,1.0,Confused
107,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 ., profit rose ,1.0,Happy
108,Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,profit rose,1.0,Happy
109,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",up from ,1.0,Confused
110,"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",increase,1.0,Confused
111,"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",grew,1.0,Happy
112,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,signed an agreemen,1.0,Happy
113,"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",development,1.0,Happy
114,Sanoma Magazines ' net sales are estimated to grow in 2006 .,grow,1.0,Confused
115,The bank forecasts Finland 's GDP will grow by 2 % in 2010 and in 2011 .,grow,1.0,Confused
116,"The circuit 's overall production rate on a weekly basis is now in excess of an average of 40,000 tonnes per day , with volumes in excess of 50,000 tonnes per day being reached on individual days .", excess,1.0,Confused
117,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",up from ,1.0,Confused
118,The Department Store Division reported an increase in sales of 4 per cent .,increase,1.0,Happy
119,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,grew,1.0,Happy
120,"The last quarter was the best quarter of 2009 in net sales , and the operating margin rose to 12.2 % .",rose,1.0,Confused
121,"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .", increased,1.0,Happy
122,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",doubles,1.0,Confused
123,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,rose,1.0,Happy
124,"`` After this purchase , Cramo will become the second largest rental services provider in the Latvian market .", largest ,1.0,Confused
125,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",increase,1.0,Confused
126,`` The purchase of the operations is part of YIT 's strategy to expand its offering of building system services geographically . '',expand,1.0,Happy
127,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,rose,1.0,Happy
128,"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",gone up,1.0,Unhappy
129,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains ., signed,1.0,Happy
130,Finnish Bank of +_land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 .,rose,1.0,Confused
131,Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,increased,1.0,Happy
132,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,grew,1.0,Confused
133,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,raised,1.0,Confused
134,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,signed a contract,1.0,Confused
135,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,rose,1.0,Happy
136,"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",signed an agreement,1.0,Happy
137,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit ., largest,1.0,Happy
138,According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,double turnover,1.0,Confused
139,"According to HKScan Finland , the plan is to increase J+Ãâ rvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .", increase,1.0,Confused
140,"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively .",grew,1.0,Happy
141,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",largest ,1.0,Confused
142,"Again , the most significant sales increase of 18.6 % was in Russia .",sales increase,1.0,Happy
143,Alma Media expects its net sales to increase as forecast previously .,sales increase,1.0,Confused
144,Also Lemmink+Ãâ inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,went up,1.0,Confused
145,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",up,1.0,Happy
146,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",profit increased,1.0,Happy
147,"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",increased the share,1.0,Happy
148,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",profit and sales increased,1.0,Happy
149,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",profit and sales increased,1.0,Happy
150,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",profit and sales increased,1.0,Happy
151,"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",profit and sales increased,1.0,Happy
152,"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",profit and sales increased,1.0,Happy
153,"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",profit and sales increased,1.0,Happy
154,"Both operating profit and net sales for the six-month period increased , respectively from EUR0 .4 m and EUR3 .2 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
155,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",profit and sales increased,1.0,Happy
156,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
157,"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
158,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",profit and sales increased,1.0,Happy
159,"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",profit and sales increased,1.0,Happy
160,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",profit and sales increased,1.0,Happy
161,"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",profit and sales increased,1.0,Happy
162,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",profit and sales increased,1.0,Happy
163,Cargo volume grew by 7 % .,grew,1.0,Happy
164,Cargo volume increased by approximately 5 % .,increased,1.0,Happy
165,"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004 .",uo from,1.0,Confused
166,"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",up,1.0,Confused
167,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,rose,1.0,Confused
168,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,rose,1.0,Confused
169,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,rose,1.0,Confused
170,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,rose,1.0,Confused
171,Diluted EPS rose to EUR3 .68 from EUR0 .50 .,rose,1.0,Confused
172,EBIT margin was up from 1.4 % to 5.1 % .,uo from,1.0,Confused
173,"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",up by ,1.0,Happy
174,"EPS from continuing operations came in at 0.30 eur , up from 0.17 .",up from ,1.0,Confused
175,"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006 .",up by ,1.0,Confused
176,"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier .",rose,1.0,Confused
177,"Finland-based Elcoteq SE , a privately held provider of electronics manufacturing services to communications companies , said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. .", signed,1.0,Happy
178,Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit rose to EUR 24.1 million ( USD 33.6 m ) in the third quarter of 2010 from EUR 17.9 million a year earlier ., rose,1.0,Confused
179,Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 ., rose,1.0,Happy
180,"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .", rose,1.0,Happy
181,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America ., rose,1.0,Confused
182,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 ., rose,1.0,Happy
183,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 ., rose,1.0,Happy
184,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 ., rose,1.0,Confused
185,"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",grew up,1.0,Happy
186,"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .", up from,1.0,Confused
187,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,increased,1.0,Confused
188,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .,rose,1.0,Confused
189,"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",strengthen,1.0,Happy
190,"For the first nine months of 2010 , the company 's net profit rose to EUR41m from EUR30m for the corresponding period of 2009 .",rose,1.0,Happy
191,"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",increase,1.0,Confused
192,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",grawn,1.0,Confused
193,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",grawth,1.0,Confused
194,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",rise,1.0,Confused
195,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",growth,1.0,Confused
196,"In 2007 , Contempus generated revenue of NOK 69.3 ( approx .",generated,0.0,Happy
197,"In addition , Kone signed a two-year maintenance contract for the escalators .",signed,1.0,Confused
198,"In December alone , the members of the Lithuanian Brewers ' Association sold a total of 20.3 million liters of beer , an increase of 1.9 percent from the sales of 19.92 million liters in December 2004 .",increased,1.0,Happy
199,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",increased,1.0,Happy
200,"In Q1 of 2010 , Bank of +_land 's net interest income increased from EUR 9.1 mn to EUR 9.7 mn .",increased,1.0,Confused
201,"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005 .",up,1.0,Happy
202,"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",went up,1.0,Happy
203,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",rose,1.0,Happy
204,"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",rose,1.0,Unhappy
205,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",increased,1.0,Happy
206,"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",increased,1.0,Happy
207,Its market share widened to 48.51 percent from 48.31 percent a year earlier .,widened,1.0,Confused
208,Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .,comes up,0.0,Confused
209,"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .", increase by,1.0,Confused
210,"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",grow,1.0,Happy
211,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,rose,1.0,Confused
212,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",rose,1.0,Confused
213,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",rose,1.0,Confused
214,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 .",rose,1.0,Confused
